"Title:","'est210suu - CPU Usage'"
"Vertical Label:","'percent'"
"Start Date:","2018-06-12 20:10:00"
"End Date:","2018-06-12 20:10:00"
"Step:","300"
"Total Rows:","8929"
"Graph ID:","10805"
"Host ID:","1061"
""
"Date","System","User","Nice","IOwait","Idle","Total"
"2018-06-12 20:10:00","1.8523464818e+00","2.4397146314e+01","0.0000000000e+00","6.3285704373e-01","7.3117650161e+01","1.0000000000e+02"
"2018-06-12 20:15:00","1.8499366641e+00","2.5681659036e+01","0.0000000000e+00","5.3025296609e-01","7.1938151334e+01","1.0000000000e+02"
"2018-06-12 20:20:00","1.8895296673e+00","2.4165140868e+01","0.0000000000e+00","4.1526126666e-01","7.3530068198e+01","1.0000000000e+02"
"2018-06-12 20:25:00","1.9411590210e+00","2.4145717170e+01","0.0000000000e+00","3.2730323650e-01","7.3585820573e+01","1.0000000000e+02"
"2018-06-12 20:30:00","1.8937104322e+00","2.3720809233e+01","0.0000000000e+00","3.1296726962e-01","7.4072513066e+01","1.0000000000e+02"
"2018-06-12 20:35:00","1.9370745280e+00","2.4328079866e+01","0.0000000000e+00","2.9010490897e-01","7.3444740697e+01","1.0000000000e+02"
"2018-06-12 20:40:00","1.8893953623e+00","2.3759255617e+01","0.0000000000e+00","2.7383392031e-01","7.4077515100e+01","1.0000000000e+02"
"2018-06-12 20:45:00","2.0397839321e+00","2.5441542229e+01","0.0000000000e+00","3.2785299206e-01","7.2190820847e+01","1.0000000000e+02"
"2018-06-12 20:50:00","2.0174610499e+00","2.5161288522e+01","0.0000000000e+00","2.5110125011e-01","7.2570149178e+01","1.0000000000e+02"
"2018-06-12 20:55:00","2.0501890346e+00","2.5554838679e+01","0.0000000000e+00","2.4445109641e-01","7.2150521190e+01","1.0000000000e+02"
"2018-06-12 21:00:00","2.2004185604e+00","2.7424388868e+01","0.0000000000e+00","2.2952082481e-01","7.0145671747e+01","1.0000000000e+02"
"2018-06-12 21:05:00","2.1681842630e+00","2.7234327031e+01","0.0000000000e+00","2.0694874060e-01","7.0390539965e+01","1.0000000000e+02"
"2018-06-12 21:10:00","1.9661909789e+00","2.4616316323e+01","0.0000000000e+00","1.9466118091e-01","7.3222831517e+01","1.0000000000e+02"
"2018-06-12 21:15:00","2.0384648447e+00","2.5288965741e+01","0.0000000000e+00","2.1275681252e-01","7.2459812602e+01","1.0000000000e+02"
"2018-06-12 21:20:00","2.1362844207e+00","2.6721855502e+01","0.0000000000e+00","1.8565224108e-01","7.0956207836e+01","1.0000000000e+02"
"2018-06-12 21:25:00","2.1211719984e+00","2.6615084242e+01","0.0000000000e+00","1.7146138418e-01","7.1092282375e+01","1.0000000000e+02"
"2018-06-12 21:30:00","2.1010244162e+00","2.6523109520e+01","0.0000000000e+00","1.7018493491e-01","7.1205681129e+01","1.0000000000e+02"
"2018-06-12 21:35:00","2.1582789390e+00","2.7535510034e+01","0.0000000000e+00","1.7850209188e-01","7.0127708935e+01","1.0000000000e+02"
"2018-06-12 21:40:00","2.1553301950e+00","2.7144567591e+01","0.0000000000e+00","2.0236174082e-01","7.0497740473e+01","1.0000000000e+02"
"2018-06-12 21:45:00","2.2447173278e+00","2.7986902923e+01","0.0000000000e+00","2.3957865890e-01","6.9528801090e+01","1.0000000000e+02"
"2018-06-12 21:50:00","2.3071085330e+00","2.8541391987e+01","0.0000000000e+00","1.8931834690e-01","6.8962181133e+01","1.0000000000e+02"
"2018-06-12 21:55:00","2.4113889761e+00","2.9872776496e+01","0.0000000000e+00","2.2621431668e-01","6.7489620212e+01","1.0000000000e+02"
"2018-06-12 22:00:00","2.3801643296e+00","2.9936800228e+01","0.0000000000e+00","1.9819213118e-01","6.7484843312e+01","1.0000000000e+02"
"2018-06-12 22:05:00","2.3176240261e+00","2.9230127876e+01","0.0000000000e+00","1.9265900292e-01","6.8259589095e+01","1.0000000000e+02"
"2018-06-12 22:10:00","2.2620829065e+00","2.8363776588e+01","0.0000000000e+00","2.0045135181e-01","6.9173689154e+01","1.0000000000e+02"
"2018-06-12 22:15:00","2.3095937099e+00","2.8972060360e+01","0.0000000000e+00","1.6822567715e-01","6.8550120253e+01","1.0000000000e+02"
"2018-06-12 22:20:00","2.3853986523e+00","2.9746107266e+01","0.0000000000e+00","1.7997309334e-01","6.7688520988e+01","1.0000000000e+02"
"2018-06-12 22:25:00","2.3479950225e+00","2.9142894984e+01","0.0000000000e+00","1.5810138925e-01","6.8351008604e+01","1.0000000000e+02"
"2018-06-12 22:30:00","2.3965186351e+00","2.9564656301e+01","0.0000000000e+00","1.5036390102e-01","6.7888461163e+01","1.0000000000e+02"
"2018-06-12 22:35:00","2.3431748351e+00","2.9476398237e+01","0.0000000000e+00","1.4174207070e-01","6.8038684857e+01","1.0000000000e+02"
"2018-06-12 22:40:00","2.3654798372e+00","2.9554989111e+01","0.0000000000e+00","1.2739350956e-01","6.7952137542e+01","1.0000000000e+02"
"2018-06-12 22:45:00","2.3437567044e+00","2.9015785276e+01","0.0000000000e+00","1.4662658641e-01","6.8493831434e+01","1.0000000000e+02"
"2018-06-12 22:50:00","2.3456083811e+00","2.9017619431e+01","0.0000000000e+00","1.4972516806e-01","6.8487047020e+01","1.0000000000e+02"
"2018-06-12 22:55:00","2.3526497371e+00","2.9328566488e+01","0.0000000000e+00","1.4154542578e-01","6.8177238349e+01","1.0000000000e+02"
"2018-06-12 23:00:00","2.3641424375e+00","2.9755618419e+01","0.0000000000e+00","1.5786912742e-01","6.7722370016e+01","1.0000000000e+02"
"2018-06-12 23:05:00","2.4003652932e+00","3.0483660874e+01","0.0000000000e+00","2.9301810517e-01","6.6822955727e+01","1.0000000000e+02"
"2018-06-12 23:10:00","2.3391055941e+00","2.9838134865e+01","0.0000000000e+00","4.3137360789e-01","6.7391385933e+01","1.0000000000e+02"
"2018-06-12 23:15:00","2.2673396912e+00","2.8783493568e+01","0.0000000000e+00","2.2166274588e-01","6.8727503995e+01","1.0000000000e+02"
"2018-06-12 23:20:00","2.2968735308e+00","2.8730339582e+01","0.0000000000e+00","1.5154200106e-01","6.8821244887e+01","1.0000000000e+02"
"2018-06-12 23:25:00","2.2199943021e+00","2.7615905289e+01","0.0000000000e+00","1.4741063439e-01","7.0016689774e+01","1.0000000000e+02"
"2018-06-12 23:30:00","2.2075334670e+00","2.7645932469e+01","0.0000000000e+00","1.3715079115e-01","7.0009383273e+01","1.0000000000e+02"
"2018-06-12 23:35:00","2.2443115913e+00","2.8337526914e+01","0.0000000000e+00","9.8638802762e-02","6.9319522692e+01","1.0000000000e+02"
"2018-06-12 23:40:00","2.2422755183e+00","2.8326860277e+01","0.0000000000e+00","1.1017557838e-01","6.9320688626e+01","1.0000000000e+02"
"2018-06-12 23:45:00","2.2293817670e+00","2.7976368316e+01","0.0000000000e+00","1.0205956230e-01","6.9692190355e+01","1.0000000000e+02"
"2018-06-12 23:50:00","2.0917940548e+00","2.6248226523e+01","0.0000000000e+00","9.8090871906e-02","7.1561888551e+01","1.0000000000e+02"
"2018-06-12 23:55:00","2.0450288092e+00","2.5498614865e+01","0.0000000000e+00","1.0950721227e-01","7.2346849113e+01","1.0000000000e+02"
"2018-06-13 00:00:00","2.0356639935e+00","2.5591039211e+01","0.0000000000e+00","1.0842330043e-01","7.2264873495e+01","1.0000000000e+02"
"2018-06-13 00:05:00","1.9705398223e+00","2.4695746734e+01","0.0000000000e+00","1.1271087842e-01","7.3221002565e+01","1.0000000000e+02"
"2018-06-13 00:10:00","1.9289342411e+00","2.3638548762e+01","0.0000000000e+00","1.0611638894e-01","7.4326400608e+01","1.0000000000e+02"
"2018-06-13 00:15:00","1.8382943568e+00","2.2851132898e+01","0.0000000000e+00","1.2007142844e-01","7.5190501317e+01","1.0000000000e+02"
"2018-06-13 00:20:00","1.8136579271e+00","2.2664710970e+01","0.0000000000e+00","9.8770254582e-02","7.5422860848e+01","1.0000000000e+02"
"2018-06-13 00:25:00","1.7658773699e+00","2.1641501937e+01","0.0000000000e+00","9.1487618177e-02","7.6501133075e+01","1.0000000000e+02"
"2018-06-13 00:30:00","1.7031465363e+00","2.0884102749e+01","0.0000000000e+00","1.0695062994e-01","7.7305800085e+01","1.0000000000e+02"
"2018-06-13 00:35:00","1.6910790182e+00","2.1146641042e+01","0.0000000000e+00","1.0449048440e-01","7.7057789455e+01","1.0000000000e+02"
"2018-06-13 00:40:00","1.6124400982e+00","1.9781603621e+01","0.0000000000e+00","1.0062642683e-01","7.8505329854e+01","1.0000000000e+02"
"2018-06-13 00:45:00","1.7170199115e+00","2.0809818013e+01","0.0000000000e+00","8.6442749179e-02","7.7386719326e+01","1.0000000000e+02"
"2018-06-13 00:50:00","1.6635526338e+00","2.0137079777e+01","0.0000000000e+00","1.2525411920e-01","7.8074113470e+01","1.0000000000e+02"
