"Title:","'est220suu - CPU Usage'"
"Vertical Label:","'percent'"
"Start Date:","2018-06-12 20:10:00"
"End Date:","2018-06-12 20:10:00"
"Step:","300"
"Total Rows:","8929"
"Graph ID:","11080"
"Host ID:","1079"
""
"Date","System","User","Nice","IOwait","Idle","Total"
"2018-06-12 20:10:00","1.7621450373e+00","2.3965340503e+01","0.0000000000e+00","3.3514775766e-01","7.3937366702e+01","1.0000000000e+02"
"2018-06-12 20:15:00","2.0035457514e+00","2.6864738276e+01","0.0000000000e+00","2.9774159905e-01","7.0833974374e+01","1.0000000000e+02"
"2018-06-12 20:20:00","1.9577871731e+00","2.4114669372e+01","0.0000000000e+00","1.5481782796e-01","7.3772725627e+01","1.0000000000e+02"
"2018-06-12 20:25:00","2.0936285557e+00","2.5585397815e+01","0.0000000000e+00","1.4106204318e-01","7.2179911586e+01","1.0000000000e+02"
"2018-06-12 20:30:00","2.0713127013e+00","2.5697455878e+01","0.0000000000e+00","1.2854518331e-01","7.2102686237e+01","1.0000000000e+02"
"2018-06-12 20:35:00","1.9795161125e+00","2.4506974401e+01","0.0000000000e+00","1.1831211203e-01","7.3395197375e+01","1.0000000000e+02"
"2018-06-12 20:40:00","1.9948201743e+00","2.4977384079e+01","0.0000000000e+00","9.2130368900e-02","7.2935665378e+01","1.0000000000e+02"
"2018-06-12 20:45:00","2.0942912115e+00","2.5828766917e+01","0.0000000000e+00","1.3979768072e-01","7.1937144190e+01","1.0000000000e+02"
"2018-06-12 20:50:00","2.0692796067e+00","2.5903489619e+01","0.0000000000e+00","1.1188359538e-01","7.1915347178e+01","1.0000000000e+02"
"2018-06-12 20:55:00","2.2415952414e+00","2.6867128148e+01","0.0000000000e+00","1.1105646224e-01","7.0780220149e+01","1.0000000000e+02"
"2018-06-12 21:00:00","2.3224501752e+00","2.8398193631e+01","0.0000000000e+00","1.1005166732e-01","6.9169304527e+01","1.0000000000e+02"
"2018-06-12 21:05:00","2.3418334778e+00","2.8911726833e+01","0.0000000000e+00","1.1411863611e-01","6.8632321053e+01","1.0000000000e+02"
"2018-06-12 21:10:00","2.0241841426e+00","2.4358105760e+01","0.0000000000e+00","1.0873470936e-01","7.3508975388e+01","1.0000000000e+02"
"2018-06-12 21:15:00","2.1406074472e+00","2.6082969485e+01","0.0000000000e+00","1.0508090502e-01","7.1671342163e+01","1.0000000000e+02"
"2018-06-12 21:20:00","2.1823441535e+00","2.6651099242e+01","0.0000000000e+00","1.0328094361e-01","7.1063275661e+01","1.0000000000e+02"
"2018-06-12 21:25:00","2.0595097438e+00","2.5745788203e+01","0.0000000000e+00","1.1325917656e-01","7.2081442877e+01","1.0000000000e+02"
"2018-06-12 21:30:00","2.1063784513e+00","2.6928000182e+01","0.0000000000e+00","1.1163115281e-01","7.0853990214e+01","1.0000000000e+02"
"2018-06-12 21:35:00","2.1544243401e+00","2.7692680101e+01","0.0000000000e+00","1.0936209006e-01","7.0043533468e+01","1.0000000000e+02"
"2018-06-12 21:40:00","2.1136067189e+00","2.7313227382e+01","0.0000000000e+00","9.6135313658e-02","7.0477030586e+01","1.0000000000e+02"
"2018-06-12 21:45:00","2.1515179167e+00","2.7838939716e+01","0.0000000000e+00","9.1458028069e-02","6.9918084339e+01","1.0000000000e+02"
"2018-06-12 21:50:00","2.5671878534e+00","3.0903252428e+01","0.0000000000e+00","1.0744330780e-01","6.6422116411e+01","1.0000000000e+02"
"2018-06-12 21:55:00","2.4026658173e+00","2.9346323482e+01","0.0000000000e+00","1.1140587905e-01","6.8139604822e+01","1.0000000000e+02"
"2018-06-12 22:00:00","2.4505068085e+00","3.0921962845e+01","0.0000000000e+00","6.8697578389e-02","6.6558832768e+01","1.0000000000e+02"
"2018-06-12 22:05:00","2.3370395537e+00","2.9016901209e+01","0.0000000000e+00","8.2536822485e-02","6.8563522415e+01","1.0000000000e+02"
"2018-06-12 22:10:00","2.2786120614e+00","2.8901216637e+01","0.0000000000e+00","9.7496951994e-02","6.8722674350e+01","1.0000000000e+02"
"2018-06-12 22:15:00","2.2346224168e+00","2.8091533537e+01","0.0000000000e+00","9.8994081461e-02","6.9574849964e+01","1.0000000000e+02"
"2018-06-12 22:20:00","2.6599142335e+00","3.2278010248e+01","0.0000000000e+00","7.3228006736e-02","6.4988847512e+01","1.0000000000e+02"
"2018-06-12 22:25:00","2.3767589336e+00","2.9458175582e+01","0.0000000000e+00","9.6478219537e-02","6.8068587265e+01","1.0000000000e+02"
"2018-06-12 22:30:00","2.6262389884e+00","3.1686168238e+01","0.0000000000e+00","8.4553958951e-02","6.5603038814e+01","1.0000000000e+02"
"2018-06-12 22:35:00","2.4094086485e+00","2.8884862012e+01","0.0000000000e+00","1.1136363332e-01","6.8594365706e+01","1.0000000000e+02"
"2018-06-12 22:40:00","2.5198302224e+00","2.9935562867e+01","0.0000000000e+00","9.6951838294e-02","6.7447655073e+01","1.0000000000e+02"
"2018-06-12 22:45:00","2.4749239082e+00","3.0263704356e+01","0.0000000000e+00","8.8019821730e-02","6.7173351914e+01","1.0000000000e+02"
"2018-06-12 22:50:00","2.3430944678e+00","2.8855965220e+01","0.0000000000e+00","6.8740778678e-02","6.8732199533e+01","1.0000000000e+02"
"2018-06-12 22:55:00","2.5818045887e+00","3.1424892436e+01","0.0000000000e+00","8.8069602362e-02","6.5905233373e+01","1.0000000000e+02"
"2018-06-12 23:00:00","2.4801701397e+00","3.1067145039e+01","0.0000000000e+00","1.0822415792e-01","6.6344460663e+01","1.0000000000e+02"
"2018-06-12 23:05:00","2.5050203963e+00","3.1195003520e+01","0.0000000000e+00","2.2913601675e-01","6.6070840067e+01","1.0000000000e+02"
"2018-06-12 23:10:00","2.3803211232e+00","3.0940971762e+01","0.0000000000e+00","5.0706392283e-01","6.6171643192e+01","1.0000000000e+02"
"2018-06-12 23:15:00","2.2157561326e+00","2.8783105520e+01","0.0000000000e+00","1.0482333381e-01","6.8896315013e+01","1.0000000000e+02"
"2018-06-12 23:20:00","2.5782109009e+00","3.0788964969e+01","0.0000000000e+00","9.0614075169e-02","6.6542210054e+01","1.0000000000e+02"
"2018-06-12 23:25:00","2.2758655217e+00","2.9693404680e+01","0.0000000000e+00","8.5023379748e-02","6.7945706419e+01","1.0000000000e+02"
"2018-06-12 23:30:00","2.1808042885e+00","2.8714513964e+01","0.0000000000e+00","8.1375246422e-02","6.9023306501e+01","1.0000000000e+02"
"2018-06-12 23:35:00","2.3088714633e+00","2.9583811727e+01","0.0000000000e+00","5.6138838781e-02","6.8051177971e+01","1.0000000000e+02"
"2018-06-12 23:40:00","2.4674724891e+00","3.0200949908e+01","0.0000000000e+00","5.9766268301e-02","6.7271811334e+01","1.0000000000e+02"
"2018-06-12 23:45:00","2.2173363231e+00","3.0231680901e+01","0.0000000000e+00","8.9058638014e-02","6.7461924138e+01","1.0000000000e+02"
"2018-06-12 23:50:00","2.1433684942e+00","2.7437353276e+01","0.0000000000e+00","6.2870193771e-02","7.0356408036e+01","1.0000000000e+02"
"2018-06-12 23:55:00","2.2650330869e+00","2.6638210950e+01","0.0000000000e+00","7.8931089736e-02","7.1017824874e+01","1.0000000000e+02"
"2018-06-13 00:00:00","2.2344887206e+00","2.5788466431e+01","0.0000000000e+00","7.5259084351e-02","7.1901785764e+01","1.0000000000e+02"
"2018-06-13 00:05:00","2.1358611359e+00","2.5191302220e+01","0.0000000000e+00","9.0458287114e-02","7.2582378357e+01","1.0000000000e+02"
"2018-06-13 00:10:00","2.0765091093e+00","2.4477557666e+01","0.0000000000e+00","9.5064239065e-02","7.3350868985e+01","1.0000000000e+02"
"2018-06-13 00:15:00","1.8767743273e+00","2.2600243701e+01","0.0000000000e+00","7.6578374056e-02","7.5446403597e+01","1.0000000000e+02"
"2018-06-13 00:20:00","2.0336690821e+00","2.4107337848e+01","0.0000000000e+00","6.4916613729e-02","7.3794076456e+01","1.0000000000e+02"
"2018-06-13 00:25:00","1.8535538156e+00","2.2483991236e+01","0.0000000000e+00","5.6185842497e-02","7.5606269106e+01","1.0000000000e+02"
"2018-06-13 00:30:00","1.9821078871e+00","2.2664820364e+01","0.0000000000e+00","7.3122920272e-02","7.5279948829e+01","1.0000000000e+02"
"2018-06-13 00:35:00","1.8789633480e+00","2.2378445534e+01","0.0000000000e+00","7.8557215407e-02","7.5664033903e+01","1.0000000000e+02"
"2018-06-13 00:40:00","1.7139994285e+00","2.0853947234e+01","0.0000000000e+00","9.1593729344e-02","7.7340459608e+01","1.0000000000e+02"
"2018-06-13 00:45:00","1.8015695118e+00","2.1531900765e+01","0.0000000000e+00","9.0634179988e-02","7.6575895543e+01","1.0000000000e+02"
"2018-06-13 00:50:00","1.8675519719e+00","2.1992923688e+01","0.0000000000e+00","1.1324270617e-01","7.6026281634e+01","1.0000000000e+02"
